Miasto,Powiat,Województwo,Powierzchnia [ha] (01.01.2021),Liczba ludności (01.01.2021),Gęstość zaludnienia [osoby/km²] (01.01.2021)
Aleksandrów Kujawski,aleksandrowski,kujawsko-pomorskie,724,12058,1668
Aleksandrów Łódzki,zgierski,łódzkie,1382,21754,1574
Alwernia,chrzanowski,małopolskie,888,3336,376
Andrychów,wadowicki,małopolskie,1033,19837,1920
Annopol,kraśnicki,lubelskie,773,2436,315
Augustów,augustowski,podlaskie,8090,29946,370
Babimost,zielonogórski,lubuskie,365,3901,1069
Baborów,głubczycki,opolskie,1186,2861,241
Baranów Sandomierski,tarnobrzeski,podkarpackie,915,1430,156
Barcin,żniński,kujawsko-pomorskie,370,7313,1976
Barczewo,olsztyński,warmińsko-mazurskie,458,7509,1640
Bardo,ząbkowicki,dolnośląskie,471,2497,530
Barlinek,myśliborski,zachodniopomorskie,1755,13611,776
Bartoszyce,bartoszycki,warmińsko-mazurskie,1179,22984,1949
Barwice,szczecinecki,zachodniopomorskie,752,3677,489
Bełchatów,bełchatowski,łódzkie,3464,56419,1629
Bełżyce,lubelski,lubelskie,2346,6399,273
Będzin,będziński,śląskie,3737,56008,1499
Biała,prudnicki,opolskie,1472,2390,162
Biała Piska,piski,warmińsko-mazurskie,324,4047,1249
Biała Podlaska,Biała Podlaska,lubelskie,4940,56942,1153
Biała Rawska,rawski,łódzkie,953,3132,329
Białaczów,opoczyński,łódzkie,2192,1068,49
Białobrzegi,białobrzeski,mazowieckie,751,6853,913
Białogard,białogardzki,zachodniopomorskie,2573,23950,931
Biały Bór,szczecinecki,zachodniopomorskie,1282,2208,172
Białystok,Białystok,podlaskie,10213,296958,2908
Biecz,gorlicki,małopolskie,1771,4549,257
Bielawa,dzierżoniowski,dolnośląskie,3621,29523,815
Bielsk Podlaski,bielski,podlaskie,2701,25044,927
Bielsko-Biała,Bielsko-Biała,śląskie,12451,169756,1363
Bieruń,bieruńsko-lędziński,śląskie,4049,19375,479
Bierutów,oleśnicki,dolnośląskie,836,4809,575
